Stock,MSE,RMSE,MAE,R2
601628.SH,0.05900714859331757,0.24291387073058954,0.22603192552924156,0.6852952075023062
300003.SZ,0.3122540892639023,0.5587970018386841,0.5587970018386841,
601318.SH,0.02721938501727893,0.16498298402344083,0.1252037277445197,0.8548299465745124
600029.SH,0.10602176867632807,0.3256098411847039,0.32527828216552734,0.0
601601.SH,0.5242669389338204,0.7240628004074097,0.7240628004074097,
300498.SZ,0.011608502044245128,0.10774275866268289,0.1063934862613678,0.0
600267.SH,0.17650059469193824,0.4201197385174115,0.40494732558727264,0.6469988106161235
000016.SZ,0.038660441116117356,0.19662258546799083,0.17445412557572126,0.7938109807140408
000538.SZ,0.17774991691924255,0.42160398114728775,0.4138819972674052,0.8000313434658521
600196.SH,0.05961567918673653,0.24416322242863794,0.20333300282557806,0.8855378959614659
002271.SZ,0.05421872141416373,0.2328491387447326,0.2326938733458519,0.0
600418.SH,0.026540614599808318,0.1629129049517205,0.13824985616586424,0.9713266574412786
600104.SH,0.1534577940445511,0.39173689390272026,0.3750799894332886,0.30943992679952004
601988.SH,0.0021861084382689927,0.0467558385473835,0.03529764413833618,0.0
600009.SH,0.06776547869711047,0.2603180337531583,0.2416592389345169,0.7289380852115581
601211.SH,0.06771506794624393,0.2602211904250765,0.25942106544971466,0.0
002120.SZ,0.0050046851266074555,0.07074379920959473,0.07074379920959473,
002460.SZ,0.011303414280016478,0.10631751633675647,0.09857798781659868,0.9830448785799752
601857.SH,0.09753498789389425,0.3123059203631821,0.3120945692062378,0.0
601688.SH,0.008862824888913915,0.09414257744991857,0.09410113096237183,0.0
000651.SZ,0.014722622838223398,0.12133681567530688,0.11115812137722969,0.9590327016675523
600039.SH,0.019667164735320302,0.14023966890762507,0.07297743391245604,0.9737771136862396
300024.SZ,0.01061769781798505,0.10304221376690745,0.10264579951763153,0.0
000661.SZ,0.1943076450534278,0.4408034086227417,0.4408034086227417,
300014.SZ,0.016546363529596375,0.1286326689826359,0.12084694443778558,0.9332630004306279
600006.SH,0.10135924161286407,0.31836966189143096,0.31753218173980713,0.0
002385.SZ,1.2969493951904951,1.1388368606567383,1.1388368606567383,
002567.SZ,0.07604827576693651,0.275768518447876,0.275768518447876,
600745.SH,0.012054020204232074,0.10979080200195312,0.10979080200195312,
002100.SZ,0.0014600522768546398,0.03821063041687012,0.03821063041687012,
002074.SZ,0.015600200278640064,0.12490076172161667,0.12487935274839401,0.0
002466.SZ,0.019421307435594955,0.13936035101704844,0.1178238745778799,0.980578692564405
603259.SH,0.10854545112813985,0.32946236678585894,0.329450823366642,0.0
300750.SZ,0.09898650094030452,0.31462120230573226,0.3063941985368729,0.7750306796811262
002468.SZ,0.13621488193502618,0.3690730035305023,0.3690730035305023,
601066.SH,0.017104675011231408,0.13078484243684896,0.11613514423370361,0.969455937479944
600438.SH,0.030931033637235632,0.17587220825711955,0.11936798691749573,0.9652025871581099
601633.SH,0.1683515534589804,0.4103066578292148,0.39999687299132347,0.7755312620546928
000591.SZ,0.1207314152333134,0.3474642646853247,0.3185563882191976,0.8613475153179917
002812.SZ,0.007780441813638683,0.08820681273937225,0.08820681273937225,
600900.SH,0.16614916329359808,0.40761398809854166,0.40761318802833557,0.3354033468256077
600859.SH,0.00222770152278239,0.047198533057526165,0.04674844195445379,0.0
601607.SH,0.033788578047784346,0.18381669686887628,0.1711834892630577,0.9662114219522157
000413.SZ,0.01918377003982345,0.13850548739968194,0.12462874501943588,0.9761856647781502
002456.SZ,0.11796421053778419,0.34345918321946817,0.3132817121222615,0.6717517619818179
600733.SH,0.02155240707730092,0.14680738086792816,0.1345670372247696,0.9676713893840486
002647.SZ,0.1866637382354046,0.4320459908799115,0.4231615960597992,0.25334504705838157
000100.SZ,0.028862104688216414,0.16988850663954996,0.15173531447847685,0.9675301322257566
