Stock,Samples,Class_Balance,Confidence,Threshold,Accuracy,Precision,Recall,F1-score,AUC,AUPR,MSE,RMSE,MAE,Reliable
601727.SH,2,0.5,0.1414213562373095,0.7677192439893673,1.0,1.0,1.0,1.0,1.0,1.0,1.2462712195792722,1.116365181998826,1.0524161159992218,False
002714.SZ,5,0.2,0.0894427190999916,0.02322735740924196,0.8,0.5,1.0,0.6666666666666666,0.5,0.5,0.0731341788364885,0.2704333168019216,0.24687811732292175,False
002653.SZ,2,0.5,0.1414213562373095,0.7331086408729354,1.0,1.0,1.0,1.0,0.5,0.5,0.044932029638106386,0.21197176613432833,0.19713899493217468,False
600030.SH,9,0.11111111111111116,0.0666666666666667,1.0,0.1111111111111111,0.0,0.0,0.0,1.0,1.0,0.009935569021610573,0.09967732451069587,0.0954900367392434,False
001979.SZ,3,0.33333333333333337,0.11547005383792516,0.9111731648445129,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,1.0,0.031018498777448222,0.17612069377971523,0.12824266155560812,False
000625.SZ,15,0.19999999999999996,0.15491933384829665,0.678986839884249,0.9333333333333333,1.0,0.9166666666666666,0.9565217391304348,1.0,1.0,0.020381641960414174,0.14276428811300876,0.13081499437491098,False
601628.SH,8,0.25,0.1414213562373095,1.0,0.25,0.0,0.0,0.0,1.0,1.0,0.05900714859331757,0.24291387073058954,0.22603192552924156,False
300003.SZ,1,0.0,0.0,0.48397322268147974,0.0,0.0,0.0,0.0,0.5,0.5,0.3122540892639023,0.5587970018386841,0.5587970018386841,False
601318.SH,4,0.25,0.1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02721938501727893,0.16498298402344083,0.1252037277445197,False
600029.SH,2,0.0,0.0,1.3252782821655273,0.5,1.0,0.5,0.6666666666666666,0.5,0.5,0.10602176867632807,0.3256098411847039,0.32527828216552734,False
601601.SH,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5242669389338204,0.7240628004074097,0.7240628004074097,False
300498.SZ,4,0.0,0.0,0.8624372730552579,0.5,1.0,0.5,0.6666666666666666,0.5,0.5,0.011608502044245128,0.10774275866268289,0.1063934862613678,False
600267.SH,4,0.25,0.1,1.0,0.25,0.0,0.0,0.0,0.5,0.5,0.17650059469193824,0.4201197385174115,0.40494732558727264,False
000016.SZ,4,0.25,0.1,0.9668352551594874,0.75,1.0,0.6666666666666666,0.8,1.0,1.0,0.038660441116117356,0.19662258546799083,0.17445412557572126,False
000538.SZ,3,0.3333333333333333,0.11547005383792515,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.17774991691924255,0.42160398114728775,0.4138819972674052,False
600196.SH,12,0.16666666666666663,0.11547005383792512,0.48411507783199065,0.9166666666666666,1.0,0.9,0.9473684210526315,1.0,0.9999999999999999,0.05961567918673653,0.24416322242863794,0.20333300282557806,False
